name;location;country;length_km;corners;lap_record;lap_record_driver;lap_record_year;lat;lon;description
Albert Park Circuit;Melbourne;Australien;5.278;16;1:19.813;Charles Leclerc;2023;-37.8497;144.9680;Straßenkurs durch den Stadtpark von Melbourne. Saisoneröffnung seit 2022.
Shanghai International Circuit;Shanghai;China;5.451;16;1:32.238;Michael Schumacher;2004;31.3389;121.2198;Technisch anspruchsvolle Strecke mit der berühmten Haarnadelkurve.
Suzuka Circuit;Suzuka;Japan;5.807;18;1:30.983;Lewis Hamilton;2019;34.8431;136.5408;Einzige Acht-Form-Strecke im F1-Kalender. Legendäre 130R-Kurve.
Miami International Autodrome;Miami;USA;5.412;19;1:29.708;Max Verstappen;2023;25.9579;-80.2389;Straßenkurs um das Hard Rock Stadium. Seit 2022 im Kalender.
Circuit Gilles Villeneuve;Montreal;Kanada;4.361;13;1:13.078;Valtteri Bottas;2019;45.5000;-73.5228;Insel-Kurs im St.-Lorenz-Strom mit berühmter Wall of Champions.
Circuit de Monaco;Monte Carlo;Monaco;3.337;19;1:12.909;Lewis Hamilton;2021;43.7347;7.4205;Älteste und prestigeträchtigste Strecke im F1-Kalender.
Circuit de Barcelona-Catalunya;Barcelona;Spanien;4.675;16;1:18.149;Max Verstappen;2021;41.5700;2.2611;Traditioneller Technikkurs. Erstmals im Kalender als Madrid-Alternative.
Red Bull Ring;Spielberg;Österreich;4.318;10;1:05.619;Carlos Sainz;2020;47.2197;14.7647;Kurzer Hochgeschwindigkeitskurs in den Steirischen Alpen.
Silverstone Circuit;Silverstone;Großbritannien;5.891;18;1:27.097;Max Verstappen;2020;52.0786;-1.0169;Heimstrecke der Formel 1. Schnelle Kurvensequenz Maggots-Becketts.
Circuit de Spa-Francorchamps;Stavelot;Belgien;7.004;19;1:46.286;Valtteri Bottas;2018;50.4372;5.9714;Legendäre Naturrennstrecke mit Eau Rouge und Raidillon.
Hungaroring;Budapest;Ungarn;4.381;14;1:16.627;Lewis Hamilton;2020;47.5830;19.2526;Technisch enger Kurs in einem Amphitheater-Tal.
Circuit Zandvoort;Zandvoort;Niederlande;4.259;14;1:11.097;Lewis Hamilton;2021;52.3888;4.5400;Banked-Kurven im Küstendünen-Kurs. Finales Dutch GP 2026.
Autodromo Nazionale Monza;Monza;Italien;5.793;11;1:21.046;Rubens Barrichello;2004;45.6156;9.2811;Der schnellste Kurs im Kalender. Heimrennen der Scuderia Ferrari.
Circuito de Madrid Motorland;Madrid;Spanien;5.400;20;;;40.4168;-3.7038;Neues Stadtkurs-Projekt in Madrid. Debüt im F1-Kalender 2026.
Baku City Circuit;Baku;Aserbaidschan;6.003;20;1:43.009;Charles Leclerc;2019;40.3725;49.8533;Straßenkurs entlang der Altstadtmauern Bakus.
Marina Bay Street Circuit;Singapur;Singapur;4.940;23;1:35.867;Kevin Magnussen;2018;1.2914;103.8637;Nachtrennen durch das beleuchtete Stadtzentrum Singapurs.
Circuit of the Americas;Austin;USA;5.513;20;1:36.169;Charles Leclerc;2019;30.1328;-97.6411;Amerikanische Strecke mit markanter Bergkuppe in Kurve 1.
Autodromo Hermanos Rodriguez;Mexiko-Stadt;Mexiko;4.304;17;1:17.774;Valtteri Bottas;2021;19.4042;-99.0907;Hochgelegener Kurs (2240m). Berühmter Marbles-Bogen im Stadion.
Autodromo Jose Carlos Pace;São Paulo;Brasilien;4.309;15;1:10.540;Valtteri Bottas;2018;-23.7036;-46.6997;Anti-Uhrzeigersinn-Kurs bekannt für dramatische Regenrennen.
Las Vegas Strip Circuit;Las Vegas;USA;6.201;17;1:35.119;Oscar Piastri;2023;36.1126;-115.1739;Straßenkurs entlang des berühmten Las Vegas Strips. Nachtrennen.
Lusail International Circuit;Lusail;Katar;5.419;16;1:24.319;Max Verstappen;2023;25.4896;51.4536;Moderner Kurs im Wüstenstaat Katar.
Yas Marina Circuit;Abu Dhabi;Vereinigte Arabische Emirate;5.281;16;1:26.103;Max Verstappen;2021;24.4672;54.6031;Saisonfinale unter der Abendsonne Yas Islands.
